Location,Function,Input time type,Output type,Market semantic,Uses shared calendar?,Risk
app/services/us_market_calendar.py:21,us_market_session,date,USMarketSession or None,NYSE regular session schedule,Yes,"Trusted for recurring 2026 schedule; no exceptional-closure source"
app/services/us_market_calendar.py:35,first_us_market_open_after,aware datetime,USMarketSession,first strictly later market open,Yes,Low
app/services/us_market_calendar.py:52,latest_completed_us_trading_day,aware or naive datetime,date,latest session whose close plus 15m has passed,Yes,"Medium: naive input is assumed New York"
app/services/us_market_calendar.py:71,is_daily_bar_fresh,date plus integer,bool,daily-bar freshness,Yes,"Medium: subtracts calendar days despite session calendar"
app/services/us_market_calendar.py:84,next_us_trading_day,date,date,next recurring exchange session,Yes,Low
app/services/us_market_calendar.py:95,subtract_us_trading_sessions,date plus count,date,session arithmetic,Yes,Low
app/services/us_market_calendar.py:103,us_trading_sessions_between,date range,int,session age,Yes,Low
app/services/price_bar_repository.py:10,load_price_bars_frame,optional max_session date and as_of datetime,DataFrame,bounded or current OHLCV,Caller-controlled,"High when both bounds omitted"
app/services/price_bar_repository.py:57,load_preferred_ohlcv_frames,optional max_session date and as_of datetime,DataFrame pair,preferred adjusted/trades OHLCV,Caller-controlled,"High when both bounds omitted"
app/services/technical_score_service.py:71,load_winner_point_in_time_technical_frames,decision datetime and eligible date,DataFrame bundle,Winner point-in-time technical inputs,Yes,Low
app/services/technical_score_service.py:99,score_run_technicals,run id,TechnicalScore rows,normal technical calculation state,No,High
app/services/technical_score_service.py:636,_refresh_run_level_inputs,implicit wall/data state,DataFrames,SPY/QQQ/sector run inputs,No,High
app/services/technical_score_service.py:768,sequential ticker load,implicit database latest,DataFrames,ticker technical input,No,High
app/services/technical_score_service.py:862,process ticker load,implicit database latest,DataFrames,ticker technical input,No,High
app/services/technical_score_service.py:1037,_artifact_cache_context,series versions and configs,cache key context,local technical artifact identity,No,High
app/services/technical_score_service.py:1376,legacy ticker load,implicit database latest,DataFrames,ticker technical input,No,High
app/services/technical_score_service.py:1562,_load_price_frame,implicit database latest,DataFrame,market/benchmark input,No,High
app/services/technical_artifact_cache.py:44,build_local_artifact_key,series versions and config hashes,LocalArtifactKey,technical input identity,No,"High: no cutoff or eligible session"
app/services/technical_artifact_cache.py:80,get_local_artifact,artifact key,artifact,active/shadow reuse,No,"Medium: MATCH protects equivalence only under unbounded semantics"
app/services/technical_indicators.py:33,calculate_technical_features,OHLCV frame,TechnicalFeatureResult,latest daily indicators,No,"Caller must bound frame"
